skills,cgpa,career
"python, machine learning, numpy, statistics, hypothesis testing, sql, feature engineering, pandas, data visualization",7.53,Data Scientist
"flask, system design, api development, databases, sql, authentication, java, node.js, django",6.26,Backend Developer
"algorithms, problem solving, python, penetration testing, testing, debugging, git",9.35,Software Developer
"python, testing, algorithms, debugging, data structures, problem solving, git, java, software design, oop",9.08,Software Developer
"ethical hacking, networking, firewalls, linux, incident response, cryptography, security, siem, risk assessment",8.22,Cyber Security Analyst
"reporting, pandas, statistics, sql, data visualization, excel, power bi",9.69,Data Analyst
"ci/cd, aws, docker, devops, terraform, networking, azure",9.74,Cloud Engineer
"python, debugging, testing, java, algorithms, git, software design, data structures, problem solving, oop",7.52,Software Developer
"security, firewalls, networking, linux, incident response, ethical hacking, siem, risk assessment, cryptography",7.75,Cyber Security Analyst
"deep learning, tensorflow, python, neural networks, machine learning, computer vision, mathematics, nlp, data preprocessing, pytorch",9.58,AI Engineer
"nlp, machine learning, python, security, deep learning, data preprocessing, pytorch, incident response, mathematics, neural networks, tensorflow",6.73,AI Engineer
"networking, azure, ci/cd, aws, devops, linux, terraform, kubernetes",7.28,Cloud Engineer
"typescript, ui design, html, javascript, redux, css",7.87,Frontend Developer
"numpy, data visualization, machine learning, pandas, feature engineering, scikit-learn, python, statistics",9.44,Data Scientist
"siem, networking, cryptography, firewalls, penetration testing, incident response, risk assessment, linux, security",6.82,Cyber Security Analyst
"aws, azure, linux, terraform, ci/cd, kubernetes",9.74,Cloud Engineer
"python, sql, redux, feature engineering, typescript, hypothesis testing, numpy, data visualization, scikit-learn, machine learning",7.63,Data Scientist
"problem solving, software design, python, algorithms, oop, debugging",9.17,Software Developer
"html, react, css, typescript, javascript, responsive design",9.19,Frontend Developer
"django, sql, authentication, api development, nlp, databases, node.js, python, java, system design",6.99,Backend Developer
"python, pytorch, tensorflow, data preprocessing, deep learning, mathematics",6.77,AI Engineer
"firewalls, security, cryptography, siem, nlp, penetration testing, ethical hacking",7.22,Cyber Security Analyst
"node.js, system design, python, flask, api development, django, databases, java, authentication, sql",6.84,Backend Developer
"data structures, git, algorithms, debugging, problem solving, python, software design, testing, oop",6.1,Software Developer
"redux, accessibility, javascript, html, responsive design, web performance, css",8.18,Frontend Developer
"system design, flask, django, api development, python, sql, tensorflow, databases, node.js, authentication, java",6.47,Backend Developer
"flask, authentication, databases, api development, java, sql, css, node.js, django, html, system design, python",8.19,Backend Developer
"kubernetes, terraform, linux, azure, aws, ci/cd, docker, monitoring, networking",8.91,Cloud Engineer
"git, python, problem solving, algorithms, java, debugging, oop",6.78,Software Developer
"aws, docker, devops, monitoring, power bi, networking, excel, azure",6.02,Cloud Engineer
"ci/cd, aws, terraform, networking, monitoring, statistics, linux, kubernetes, docker",6.58,Cloud Engineer
"typescript, ui design, html, web performance, css, responsive design, javascript",6.73,Frontend Developer
"power bi, pandas, ci/cd, data cleaning, reporting, excel, python, statistics, data visualization, tableau, docker",6.35,Data Analyst
"reporting, excel, data visualization, python, sql, power bi, data cleaning, statistics",9.88,Data Analyst
"firewalls, data visualization, statistics, power bi, pandas, python, data cleaning, reporting, sql, tableau",9.48,Data Analyst
"terraform, kubernetes, ci/cd, oop, docker, aws, devops, azure, monitoring, linux",8.99,Cloud Engineer
"sql, power bi, pandas, tableau, data visualization, data cleaning, excel",8.79,Data Analyst
"aws, devops, monitoring, docker, ci/cd, networking, linux, azure",6.42,Cloud Engineer
"web performance, css, responsive design, react, accessibility, ui design, devops, redux, html",6.17,Frontend Developer
"tableau, sql, data visualization, pandas, penetration testing, excel, python, reporting, networking, power bi, statistics",8.0,Data Analyst
"linux, risk assessment, networking, security, incident response, firewalls",8.63,Cyber Security Analyst
"linux, kubernetes, monitoring, aws, azure, terraform, ci/cd, networking, devops",8.02,Cloud Engineer
"monitoring, terraform, linux, devops, azure, ci/cd",9.16,Cloud Engineer
"accessibility, javascript, typescript, react, html, redux",7.83,Frontend Developer
"pytorch, machine learning, nlp, mathematics, data preprocessing, computer vision",6.17,AI Engineer
"nlp, machine learning, pytorch, deep learning, data preprocessing, mathematics, tensorflow",6.25,AI Engineer
"siem, networking, firewalls, ethical hacking, cryptography, incident response, risk assessment",7.61,Cyber Security Analyst
"feature engineering, python, pandas, data visualization, hypothesis testing, sql, numpy",7.61,Data Scientist
"security, cryptography, penetration testing, databases, java, networking, risk assessment, ethical hacking, siem, linux, firewalls",9.58,Cyber Security Analyst
"devops, terraform, aws, docker, networking, kubernetes, linux, ci/cd",6.11,Cloud Engineer
"linux, ethical hacking, siem, risk assessment, cryptography, networking, penetration testing",9.08,Cyber Security Analyst
"data visualization, tableau, html, reporting, python, data cleaning, sql, pandas, excel, react, statistics",9.33,Data Analyst
"siem, penetration testing, security, cryptography, ethical hacking, firewalls, incident response, networking, linux, risk assessment",7.59,Cyber Security Analyst
"neural networks, nlp, deep learning, tensorflow, python, pytorch, computer vision, machine learning, mathematics, data preprocessing",8.2,AI Engineer
"typescript, accessibility, javascript, ui design, html, redux, web performance, react, responsive design, css",7.64,Frontend Developer
"firewalls, security, incident response, risk assessment, siem, cryptography",6.84,Cyber Security Analyst
"terraform, devops, networking, azure, docker, monitoring",9.68,Cloud Engineer
"docker, azure, monitoring, networking, linux, kubernetes",8.34,Cloud Engineer
"java, authentication, api development, django, node.js, flask, python, databases, sql",7.18,Backend Developer
"ui design, css, typescript, html, redux, react",9.12,Frontend Developer
"machine learning, hypothesis testing, scikit-learn, numpy, data visualization, sql, statistics, python, feature engineering, pandas",7.79,Data Scientist
"tableau, power bi, statistics, pandas, excel, data visualization, reporting, data cleaning, python, sql",7.41,Data Analyst
"databases, node.js, python, flask, api development, django, authentication, system design, sql",6.33,Backend Developer
"java, system design, python, flask, django, sql",6.72,Backend Developer
"api development, python, sql, node.js, django, system design, java, databases, flask, authentication",8.67,Backend Developer
"sql, hypothesis testing, python, feature engineering, numpy, scikit-learn, pandas, data visualization, statistics",6.48,Data Scientist
"html, ui design, css, react, web performance, responsive design",7.96,Frontend Developer
"cryptography, power bi, excel, statistics, python, data visualization, pandas, sql, tableau",8.6,Data Analyst
"pandas, sql, data visualization, power bi, tableau, excel, reporting, statistics, data cleaning",8.73,Data Analyst
"java, flask, python, databases, system design, node.js, django, authentication, api development",8.49,Backend Developer
"computer vision, machine learning, tensorflow, data preprocessing, nlp, python, pytorch, mathematics, neural networks",9.65,AI Engineer
"typescript, accessibility, html, responsive design, redux, ui design, javascript, css, web performance, react",7.28,Frontend Developer
"data preprocessing, neural networks, pytorch, machine learning, tensorflow, deep learning, mathematics, nlp, computer vision, python",7.49,AI Engineer
"redux, ui design, typescript, react, web performance, javascript, accessibility, responsive design",6.19,Frontend Developer
"networking, hypothesis testing, python, feature engineering, statistics, scikit-learn, azure, pandas",6.47,Data Scientist
"oop, software design, debugging, java, python, testing, git, problem solving, algorithms, data structures",9.61,Software Developer
"firewalls, authentication, system design, sql, python, node.js, flask",9.58,Backend Developer
"ethical hacking, siem, cryptography, security, networking, penetration testing, risk assessment",8.41,Cyber Security Analyst
"html, ui design, web performance, javascript, testing, accessibility, css, responsive design, algorithms",8.56,Frontend Developer
"numpy, pandas, python, sql, data visualization, machine learning",8.04,Data Scientist
"data preprocessing, devops, machine learning, computer vision, nlp, python, deep learning, tensorflow, mathematics",7.4,AI Engineer
"cryptography, firewalls, networking, security, ethical hacking, linux, incident response, siem, penetration testing",6.35,Cyber Security Analyst
"system design, java, python, databases, api development, sql, flask",8.07,Backend Developer
"ci/cd, docker, networking, azure, devops, kubernetes, linux, aws, monitoring",8.89,Cloud Engineer
"java, databases, system design, authentication, sql, django, api development, python, flask, node.js",9.14,Backend Developer
"azure, kubernetes, terraform, algorithms, ci/cd, docker, linux, monitoring, aws, devops",9.7,Cloud Engineer
"debugging, java, testing, data structures, git, python",8.27,Software Developer
"computer vision, pytorch, python, tensorflow, machine learning, nlp, neural networks, deep learning, mathematics",9.81,AI Engineer
"react, css, web performance, typescript, ui design, html, javascript",8.65,Frontend Developer
"sql, excel, data visualization, data cleaning, power bi, reporting, pandas, tableau",8.99,Data Analyst
"incident response, cryptography, penetration testing, risk assessment, security, linux, firewalls, networking, ethical hacking, siem",7.04,Cyber Security Analyst
"pandas, statistics, scikit-learn, data visualization, feature engineering, sql, python",9.72,Data Scientist
"tableau, statistics, pandas, python, data visualization, data cleaning, sql",7.27,Data Analyst
"software design, java, debugging, algorithms, statistics, git, problem solving, testing, data structures, oop",6.23,Software Developer
"databases, authentication, system design, sql, java, node.js, python, flask, django",9.78,Backend Developer
"numpy, data visualization, statistics, feature engineering, sql, machine learning",8.14,Data Scientist
"linux, networking, firewalls, incident response, cryptography, ethical hacking, siem",9.67,Cyber Security Analyst
"risk assessment, linux, tableau, security, penetration testing, ethical hacking, incident response",6.49,Cyber Security Analyst
"databases, sql, node.js, django, system design, java, api development, authentication, python, flask",6.39,Backend Developer
"flask, django, system design, python, node.js, sql, java",7.36,Backend Developer
"tensorflow, data preprocessing, deep learning, pytorch, python, machine learning, neural networks, nlp, mathematics, computer vision",9.67,AI Engineer
"testing, algorithms, software design, oop, problem solving, deep learning, python, git",8.68,Software Developer
"incident response, ethical hacking, cryptography, security, firewalls, penetration testing, risk assessment, networking",6.67,Cyber Security Analyst
"risk assessment, cryptography, neural networks, penetration testing, security, linux, ethical hacking, siem, firewalls, networking, tensorflow",9.11,Cyber Security Analyst
"problem solving, debugging, git, software design, testing, oop, data structures, java, networking, firewalls, algorithms",9.81,Software Developer
"java, problem solving, oop, git, debugging, algorithms, data structures, python, software design",7.32,Software Developer
"data cleaning, azure, kubernetes, ci/cd, data visualization, networking, terraform, monitoring",6.98,Cloud Engineer
"git, data visualization, algorithms, debugging, software design, testing, problem solving, reporting, oop, data structures",6.09,Software Developer
"pytorch, tensorflow, mathematics, nlp, machine learning, python, data preprocessing, neural networks, computer vision",6.08,AI Engineer
"sql, system design, api development, node.js, databases, testing, django",9.68,Backend Developer
"feature engineering, pandas, numpy, machine learning, scikit-learn, sql, data visualization, python, hypothesis testing",6.93,Data Scientist
"cryptography, security, incident response, linux, firewalls, risk assessment, ethical hacking, networking",6.61,Cyber Security Analyst
"python, authentication, django, flask, java, problem solving, system design, api development, sql, node.js, databases",7.05,Backend Developer
"ui design, accessibility, web performance, react, html, javascript, redux",8.59,Frontend Developer
"security, risk assessment, firewalls, siem, networking, cryptography, linux, ethical hacking, penetration testing",9.4,Cyber Security Analyst
"numpy, hypothesis testing, data cleaning, python, pandas, feature engineering, data visualization, machine learning, sql, statistics, scikit-learn",6.86,Data Scientist
"sql, testing, data structures, feature engineering, machine learning, numpy, pandas, python, data visualization",7.55,Data Scientist
"aws, siem, risk assessment, ethical hacking, firewalls, penetration testing, networking, security, cryptography, incident response",6.05,Cyber Security Analyst
"ethical hacking, firewalls, linux, networking, siem, cryptography, penetration testing",6.6,Cyber Security Analyst
"django, python, api development, java, authentication, databases, flask, system design",7.76,Backend Developer
"neural networks, data preprocessing, tensorflow, nlp, mathematics, computer vision, deep learning, python, pytorch, debugging, machine learning, git",7.17,AI Engineer
"databases, api development, system design, authentication, node.js, python, django",6.45,Backend Developer
"numpy, hypothesis testing, python, machine learning, pandas, sql",7.84,Data Scientist
"neural networks, data preprocessing, tensorflow, nlp, computer vision, pytorch, machine learning, kubernetes, deep learning, networking",9.12,AI Engineer
"python, flask, api development, system design, databases, django, node.js, sql, authentication",7.32,Backend Developer
"python, numpy, pandas, networking, hypothesis testing, machine learning, terraform, scikit-learn",7.77,Data Scientist
"javascript, web performance, ui design, accessibility, html, css",8.16,Frontend Developer
"terraform, azure, devops, linux, tensorflow, networking, monitoring, kubernetes, aws, ci/cd, python",6.17,Cloud Engineer
"nlp, tensorflow, pytorch, machine learning, deep learning, computer vision, neural networks, mathematics",9.14,AI Engineer
"python, siem, security, risk assessment, penetration testing, linux, tensorflow, ethical hacking",6.67,Cyber Security Analyst
"data cleaning, reporting, statistics, pandas, excel, security, tableau, power bi, cryptography, data visualization",8.49,Data Analyst
"data preprocessing, computer vision, machine learning, python, neural networks, pytorch, nlp, mathematics, tensorflow",6.65,AI Engineer
"python, java, data structures, algorithms, problem solving, debugging, oop, software design",8.96,Software Developer
"statistics, hypothesis testing, azure, python, sql, feature engineering, machine learning, data visualization",7.9,Data Scientist
"pandas, tableau, sql, excel, data visualization, reporting, data cleaning, power bi, python, statistics",6.92,Data Analyst
"authentication, django, sql, system design, java, flask, python, node.js, databases",7.34,Backend Developer
"sql, python, machine learning, data visualization, statistics, hypothesis testing, feature engineering, pandas",6.17,Data Scientist
"feature engineering, numpy, sql, machine learning, data visualization, scikit-learn, css, statistics, html, hypothesis testing, pandas",9.25,Data Scientist
"debugging, algorithms, software design, oop, data structures, testing, problem solving, git, python",6.69,Software Developer
"oop, software design, testing, problem solving, python, data structures, debugging, algorithms",7.25,Software Developer
"siem, networking, security, cryptography, firewalls, ethical hacking",8.96,Cyber Security Analyst
"ethical hacking, excel, risk assessment, networking, security, cryptography, linux, siem, firewalls, incident response, penetration testing",8.52,Cyber Security Analyst
"scikit-learn, data visualization, sql, hypothesis testing, pandas, numpy, feature engineering, statistics, python",8.82,Data Scientist
"redux, web performance, react, responsive design, html, javascript, accessibility, ui design",9.14,Frontend Developer
"data visualization, tableau, statistics, power bi, reporting, sql, python, scikit-learn",8.98,Data Analyst
"hypothesis testing, python, pandas, firewalls, incident response, scikit-learn, sql, numpy, feature engineering, statistics",6.71,Data Scientist
"tableau, data cleaning, data visualization, statistics, pandas, reporting, python, sql",6.11,Data Analyst
"software design, problem solving, java, data structures, python, algorithms, debugging",7.02,Software Developer
"linux, kubernetes, docker, terraform, monitoring, azure, networking, devops, ci/cd, aws",9.74,Cloud Engineer
"pytorch, nlp, tensorflow, mathematics, machine learning, neural networks, data preprocessing, deep learning",9.46,AI Engineer
"react, javascript, accessibility, html, typescript, redux, web performance, ui design",9.66,Frontend Developer
"ci/cd, aws, terraform, devops, linux, docker, kubernetes, networking, azure, monitoring, html",7.9,Cloud Engineer
"pytorch, nlp, tensorflow, computer vision, python, deep learning",8.74,AI Engineer
"accessibility, sql, data visualization, hypothesis testing, python, machine learning, statistics, redux, numpy, feature engineering",6.34,Data Scientist
"sql, django, api development, authentication, java, node.js, python, system design",6.55,Backend Developer
"computer vision, machine learning, nlp, data preprocessing, mathematics, deep learning, tensorflow, python, neural networks, pytorch",6.33,AI Engineer
"debugging, algorithms, java, testing, oop, data structures, git",9.82,Software Developer
"kubernetes, docker, devops, terraform, networking, aws, azure, ci/cd, monitoring, linux",6.4,Cloud Engineer
"azure, aws, networking, kubernetes, devops, monitoring, terraform, ci/cd",7.52,Cloud Engineer
"aws, devops, monitoring, azure, docker, kubernetes, ci/cd, terraform, computer vision, networking",6.34,Cloud Engineer
"html, react, accessibility, javascript, linux, css, ui design, redux, responsive design, web performance, typescript",9.2,Frontend Developer
"numpy, machine learning, feature engineering, hypothesis testing, statistics, pandas",8.97,Data Scientist
"deep learning, data preprocessing, data structures, python, neural networks, machine learning, mathematics, nlp",7.57,AI Engineer
"python, siem, oop, git, linux, algorithms, software design, debugging, testing, java",6.46,Software Developer
"python, data cleaning, react, responsive design, excel, sql, statistics, power bi, data visualization",7.03,Data Analyst
"node.js, authentication, databases, flask, statistics, django, data visualization, python",8.76,Backend Developer
"ui design, accessibility, typescript, redux, javascript, css, web performance, responsive design, react, html",7.13,Frontend Developer
"devops, ci/cd, linux, ethical hacking, kubernetes, networking, aws, terraform, azure, monitoring, docker",8.96,Cloud Engineer
"java, oop, software design, problem solving, testing, algorithms, debugging, python, data structures, git",9.33,Software Developer
"django, python, sql, java, flask, node.js, databases, api development, authentication",6.69,Backend Developer
"redux, accessibility, javascript, react, web performance, ui design, responsive design",6.94,Frontend Developer
"web performance, javascript, ui design, responsive design, html, typescript, css, redux, react, java, accessibility",9.48,Frontend Developer
"algorithms, git, cryptography, oop, java, data structures, software design, incident response",9.11,Software Developer
"networking, ci/cd, azure, linux, monitoring, aws",6.55,Cloud Engineer
"kubernetes, devops, docker, networking, terraform, python, ci/cd, aws, linux",7.83,Cloud Engineer
"reporting, data visualization, statistics, data cleaning, excel, pandas, python, power bi, tableau, sql",6.82,Data Analyst
"risk assessment, firewalls, responsive design, security, linux, penetration testing, siem, incident response, networking, ethical hacking",8.47,Cyber Security Analyst
"python, pytorch, machine learning, deep learning, computer vision, tensorflow, neural networks",9.58,AI Engineer
"data visualization, sql, pandas, excel, tableau, data cleaning, data structures, python, reporting, statistics",7.86,Data Analyst
"excel, tableau, data visualization, power bi, pandas, sql",9.25,Data Analyst
"databases, sql, flask, node.js, system design, python, api development, java, django",9.65,Backend Developer
"neural networks, pytorch, mathematics, git, tensorflow, data preprocessing, deep learning, nlp, computer vision, python, machine learning",7.71,AI Engineer
"web performance, accessibility, css, javascript, redux, react, responsive design, typescript, ui design, html",7.03,Frontend Developer
"redux, typescript, javascript, html, web performance, responsive design, css, ui design, accessibility, react",7.79,Frontend Developer
"python, sql, flask, authentication, node.js, api development, java, networking, databases, system design, cryptography, django",6.25,Backend Developer
"machine learning, scikit-learn, pandas, sql, data visualization, feature engineering, hypothesis testing, numpy, python",9.55,Data Scientist
"python, algorithms, software design, git, problem solving, debugging, oop",7.41,Software Developer
"css, html, web performance, redux, react, typescript, ui design, responsive design, javascript, accessibility",9.61,Frontend Developer
"pandas, sql, statistics, tableau, data cleaning, databases, data visualization",7.28,Data Analyst
"statistics, excel, pandas, python, oop, reporting, data cleaning, sql, data visualization, tableau, debugging",7.86,Data Analyst
"data preprocessing, pytorch, neural networks, mathematics, tensorflow, authentication, computer vision, machine learning, python",6.73,AI Engineer
"node.js, api development, flask, sql, authentication, databases, java, django",6.1,Backend Developer
"sql, statistics, pandas, python, data visualization, scikit-learn, security",9.19,Data Scientist
"linux, docker, problem solving, networking, aws, kubernetes, azure",8.59,Cloud Engineer
"pytorch, python, deep learning, neural networks, computer vision, nlp, machine learning, mathematics, data preprocessing, tensorflow",6.09,AI Engineer
"linux, incident response, cryptography, firewalls, networking, siem",9.76,Cyber Security Analyst
"statistics, numpy, scikit-learn, python, data visualization, pandas",9.01,Data Scientist
"python, sql, data visualization, reporting, statistics, terraform, power bi, pandas, tableau, data cleaning",8.93,Data Analyst
"data structures, java, software design, algorithms, oop, problem solving",7.85,Software Developer
"incident response, risk assessment, firewalls, penetration testing, networking, cryptography",8.14,Cyber Security Analyst
"python, scikit-learn, pandas, hypothesis testing, sql, statistics, numpy, data visualization, machine learning, feature engineering",8.05,Data Scientist
"feature engineering, data visualization, scikit-learn, sql, databases, hypothesis testing, pandas",7.95,Data Scientist
"javascript, react, responsive design, html, web performance, css, accessibility, typescript",9.18,Frontend Developer
"pytorch, data preprocessing, python, neural networks, computer vision, mathematics, nlp, machine learning",9.48,AI Engineer
"reporting, excel, power bi, data visualization, python, sql, data cleaning, tableau, statistics",6.27,Data Analyst
"reporting, statistics, tableau, python, excel, pandas, data visualization",7.86,Data Analyst
"react, typescript, javascript, accessibility, css, redux, ui design",8.5,Frontend Developer
"siem, data cleaning, firewalls, risk assessment, cryptography, linux, ethical hacking, security, incident response",6.77,Cyber Security Analyst
"css, typescript, ui design, web performance, redux, pandas, javascript, accessibility, responsive design, html, data visualization, react",6.23,Frontend Developer
"sql, python, machine learning, feature engineering, pandas, scikit-learn",8.63,Data Scientist
"sql, django, databases, python, system design, flask, api development, java, authentication, node.js",7.61,Backend Developer
"api development, java, databases, authentication, django, node.js, python, css, sql, flask",9.0,Backend Developer
"tableau, excel, reporting, data cleaning, power bi, python",9.56,Data Analyst
"sql, pandas, data cleaning, power bi, excel, mathematics, tableau, statistics, reporting, python, data visualization",6.04,Data Analyst
"mathematics, pytorch, nlp, python, deep learning, data preprocessing",8.01,AI Engineer
"networking, kubernetes, ci/cd, aws, monitoring, linux, devops, azure, terraform, docker",6.44,Cloud Engineer
"sql, scikit-learn, hypothesis testing, statistics, numpy, data visualization",6.28,Data Scientist
"web performance, ui design, css, react, typescript, html, responsive design",6.81,Frontend Developer
"hypothesis testing, statistics, python, machine learning, pandas, numpy, feature engineering",8.95,Data Scientist
"java, api development, python, django, sql, node.js, flask, databases",8.7,Backend Developer
"javascript, typescript, react, ui design, html, redux, accessibility, responsive design",9.42,Frontend Developer
"data visualization, tableau, data cleaning, power bi, python, statistics, sql, excel, reporting, pandas",9.42,Data Analyst
"software design, git, testing, problem solving, python, algorithms, data structures, java, oop",7.08,Software Developer
"linux, firewalls, risk assessment, ethical hacking, penetration testing, cryptography, security, incident response",8.07,Cyber Security Analyst
"statistics, pandas, scikit-learn, data visualization, python, machine learning, sql",7.5,Data Scientist
"linux, ethical hacking, risk assessment, cryptography, penetration testing, incident response",9.47,Cyber Security Analyst
"java, software design, python, testing, oop, git",9.03,Software Developer
"docker, networking, terraform, kubernetes, ci/cd, linux, azure",6.47,Cloud Engineer
"data visualization, sql, numpy, scikit-learn, python, statistics",8.55,Data Scientist
"ethical hacking, statistics, pandas, cryptography, machine learning, data visualization, feature engineering, scikit-learn",9.21,Data Scientist
"firewalls, incident response, ethical hacking, cryptography, risk assessment, linux, siem, networking, penetration testing, security",8.73,Cyber Security Analyst
"software design, problem solving, java, git, oop, debugging, testing",9.14,Software Developer
"pytorch, deep learning, machine learning, python, computer vision, nlp, neural networks, tensorflow, data preprocessing, mathematics",6.06,AI Engineer
"networking, ethical hacking, cryptography, numpy, firewalls, siem, linux, penetration testing, security, risk assessment, statistics, incident response",6.61,Cyber Security Analyst
"databases, authentication, flask, node.js, sql, system design, java",6.63,Backend Developer
"api development, flask, python, databases, java, system design, django, sql, node.js, authentication",6.18,Backend Developer
"docker, devops, linux, azure, monitoring, aws, kubernetes, terraform, networking",9.61,Cloud Engineer
"tensorflow, deep learning, pytorch, nlp, mathematics, machine learning, neural networks, data preprocessing",9.77,AI Engineer
"penetration testing, siem, networking, linux, deep learning, firewalls, ethical hacking, incident response, risk assessment, tensorflow, cryptography, security",6.31,Cyber Security Analyst
"databases, python, flask, node.js, sql, authentication, api development",8.57,Backend Developer
"tableau, statistics, pandas, sql, power bi, python, excel, reporting",6.28,Data Analyst
"cryptography, incident response, networking, firewalls, risk assessment, linux, siem, penetration testing, ethical hacking, security",6.09,Cyber Security Analyst
"tensorflow, mathematics, data preprocessing, nlp, deep learning, machine learning, pytorch, computer vision",8.59,AI Engineer
"penetration testing, incident response, firewalls, networking, cryptography, siem, security",8.55,Cyber Security Analyst
"incident response, linux, firewalls, networking, penetration testing, ethical hacking",7.82,Cyber Security Analyst
"scikit-learn, pandas, sql, numpy, hypothesis testing, python",6.93,Data Scientist
"data structures, java, problem solving, algorithms, debugging, software design, testing, git, oop",7.91,Software Developer
"debugging, python, git, testing, oop, algorithms",7.15,Software Developer
"typescript, react, javascript, css, redux, responsive design, accessibility",7.34,Frontend Developer
"devops, terraform, linux, azure, monitoring, ci/cd, kubernetes",6.88,Cloud Engineer
"kubernetes, devops, docker, aws, azure, ci/cd",6.16,Cloud Engineer
"deep learning, mathematics, nlp, neural networks, pytorch, python, tensorflow, computer vision, data preprocessing",6.68,AI Engineer
"deep learning, tensorflow, mathematics, nlp, machine learning, computer vision, neural networks, ui design",7.49,AI Engineer
"python, machine learning, nlp, neural networks, mathematics, tensorflow",8.66,AI Engineer
"nlp, deep learning, git, python, machine learning, mathematics, pytorch",6.36,AI Engineer
"cryptography, ethical hacking, siem, python, security, incident response, firewalls, networking, linux",8.07,Cyber Security Analyst
"statistics, excel, data visualization, python, hypothesis testing, sql, machine learning, pandas, numpy",6.65,Data Scientist
"node.js, scikit-learn, sql, databases, data visualization, numpy, machine learning, statistics, hypothesis testing, pandas, python",6.77,Data Scientist
"api development, docker, system design, sql, java, authentication, django",7.09,Backend Developer
"html, javascript, responsive design, css, react, aws, typescript, redux, monitoring, web performance, accessibility, ui design",8.43,Frontend Developer
"python, statistics, machine learning, hypothesis testing, feature engineering, sql, pandas, scikit-learn, numpy, data visualization",8.53,Data Scientist
"excel, statistics, tableau, algorithms, sql, reporting, data cleaning, power bi",7.13,Data Analyst
"mathematics, neural networks, deep learning, data preprocessing, computer vision, nlp, pytorch, tensorflow",8.29,AI Engineer
"ethical hacking, cryptography, networking, siem, security, firewalls, incident response, risk assessment, penetration testing",7.02,Cyber Security Analyst
"ui design, responsive design, accessibility, web performance, react, redux, typescript, css",9.4,Frontend Developer
"linux, docker, kubernetes, monitoring, azure, aws, networking, devops, terraform, ci/cd",6.39,Cloud Engineer
"javascript, accessibility, react, redux, responsive design, web performance, ui design, css",9.25,Frontend Developer
"python, debugging, oop, java, problem solving, data structures, software design, git",6.98,Software Developer
"networking, incident response, penetration testing, security, linux, ethical hacking, siem",6.32,Cyber Security Analyst
"java, debugging, data structures, python, git, software design, oop, algorithms, problem solving",8.21,Software Developer
"machine learning, hypothesis testing, python, statistics, data visualization, pandas, numpy, feature engineering, sql",8.95,Data Scientist
"python, reporting, data visualization, data cleaning, excel, git, power bi, pandas, sql",9.67,Data Analyst
"devops, kubernetes, azure, monitoring, terraform, aws, networking, linux, ci/cd",6.21,Cloud Engineer
"api development, databases, sql, java, flask, python, django, node.js",9.85,Backend Developer
"software design, java, debugging, problem solving, data structures, testing, oop, algorithms, git, python",6.94,Software Developer
"data cleaning, networking, devops, docker, azure, ci/cd, terraform, statistics, linux, aws, monitoring",7.65,Cloud Engineer
"react, responsive design, html, css, typescript, javascript, redux",6.68,Frontend Developer
"machine learning, numpy, sql, pandas, data visualization, feature engineering, python, scikit-learn, statistics, hypothesis testing",7.04,Data Scientist
"ci/cd, docker, aws, networking, kubernetes, terraform, devops",7.67,Cloud Engineer
"risk assessment, siem, linux, penetration testing, incident response, cryptography, firewalls, security, networking",8.76,Cyber Security Analyst
"java, testing, data structures, python, git, software design, oop, problem solving, debugging, algorithms",8.95,Software Developer
"neural networks, deep learning, data preprocessing, computer vision, pytorch, nlp",9.5,AI Engineer
"machine learning, ci/cd, docker, numpy, monitoring, networking, linux, kubernetes",7.15,Cloud Engineer
"kubernetes, ci/cd, networking, docker, terraform, devops, azure, responsive design, linux, aws, monitoring",9.68,Cloud Engineer
"api development, python, databases, ethical hacking, django, node.js, flask, system design, java",9.41,Backend Developer
"sql, java, authentication, system design, node.js, databases",6.07,Backend Developer
"html, responsive design, javascript, redux, react, ui design, web performance, typescript",8.56,Frontend Developer
"power bi, excel, reporting, data visualization, neural networks, python, sql, tableau",6.3,Data Analyst
"machine learning, mathematics, python, deep learning, data preprocessing, pytorch, tensorflow",8.49,AI Engineer
"feature engineering, data visualization, machine learning, pandas, numpy, sql",6.05,Data Scientist
"networking, docker, aws, kubernetes, devops, ci/cd",7.57,Cloud Engineer
"terraform, sql, excel, pandas, data visualization, data cleaning, linux, tableau",7.5,Data Analyst
"monitoring, networking, machine learning, devops, kubernetes, linux, docker, ci/cd",8.03,Cloud Engineer
"risk assessment, siem, security, pytorch, networking, firewalls, incident response, ethical hacking, linux, cryptography",9.3,Cyber Security Analyst
"risk assessment, firewalls, networking, ethical hacking, incident response, java, security, linux, databases, siem, penetration testing",6.8,Cyber Security Analyst
"python, neural networks, mathematics, deep learning, machine learning, nlp, pytorch, computer vision, tensorflow",7.26,AI Engineer
"computer vision, nlp, deep learning, data preprocessing, neural networks, tensorflow, mathematics, python, pytorch, machine learning",8.1,AI Engineer
"data cleaning, devops, linux, power bi, aws, networking, docker, terraform",6.79,Cloud Engineer
"computer vision, nlp, python, pytorch, neural networks, machine learning, data preprocessing, tensorflow, mathematics, deep learning",6.59,AI Engineer
"linux, incident response, networking, ethical hacking, cryptography, security, risk assessment",8.21,Cyber Security Analyst
"oop, debugging, data structures, testing, python, software design, problem solving, algorithms, java, machine learning, git",7.81,Software Developer
